"brand","status","category","copied_filename","source_path","working_path","original_last_write_time","original_size_bytes","notes"
"lotteria","classified","05-food-drink-menu","lotteria-0001-1_1.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_1.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\05-food-drink-menu\lotteria-0001-1_1.jpg","2026-04-16T13:24:22","258985","버거 제품컷"
"lotteria","classified","02-interior-seating","lotteria-0002-1_10.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_10.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\02-interior-seating\lotteria-0002-1_10.jpg","2026-04-16T13:27:14","259850","창가 좌석"
"lotteria","classified","03-counter-kiosk-order","lotteria-0003-1_11.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_11.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0003-1_11.jpg","2026-04-16T13:27:24","408119","카운터와 메뉴보드"
"lotteria","classified","05-food-drink-menu","lotteria-0004-1_12.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_12.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\05-food-drink-menu\lotteria-0004-1_12.jpg","2026-04-16T13:27:53","282852","버거 세트 제품컷"
"lotteria","classified","03-counter-kiosk-order","lotteria-0005-1_13.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_13.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0005-1_13.jpg","2026-04-16T13:28:15","228197","카운터와 주문 동선"
"lotteria","classified","03-counter-kiosk-order","lotteria-0006-1_14.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_14.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0006-1_14.jpg","2026-04-16T13:28:59","270801","키오스크 주문 동선"
"lotteria","classified","02-interior-seating","lotteria-0007-1_15.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_15.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\02-interior-seating\lotteria-0007-1_15.jpg","2026-04-16T13:29:26","312112","좌석과 카운터 방향"
"lotteria","classified","02-interior-seating","lotteria-0008-1_16.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_16.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\02-interior-seating\lotteria-0008-1_16.jpg","2026-04-16T13:29:41","526276","창가 좌석과 프로모션"
"lotteria","classified","03-counter-kiosk-order","lotteria-0009-1_17.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_17.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0009-1_17.jpg","2026-04-16T13:30:00","319937","키오스크 주문 동선"
"lotteria","classified","02-interior-seating","lotteria-0010-1_18.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_18.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\02-interior-seating\lotteria-0010-1_18.jpg","2026-04-16T13:30:09","346474","좌석 공간"
"lotteria","classified","03-counter-kiosk-order","lotteria-0011-1_19.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_19.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0011-1_19.jpg","2026-04-16T13:31:16","314403","키오스크와 매장 내부"
"lotteria","classified","03-counter-kiosk-order","lotteria-0012-1_2.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_2.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0012-1_2.jpg","2026-04-16T13:24:51","381214","카운터와 키오스크"
"lotteria","classified","03-counter-kiosk-order","lotteria-0013-1_20.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_20.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0013-1_20.jpg","2026-04-16T13:32:03","383733","카운터와 주문 동선"
"lotteria","classified","01-exterior-signage","lotteria-0014-1_21.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_21.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\01-exterior-signage\lotteria-0014-1_21.jpg","2026-04-16T13:32:24","379091","외부 출입구"
"lotteria","classified","02-interior-seating","lotteria-0015-1_22.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_22.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\02-interior-seating\lotteria-0015-1_22.jpg","2026-04-16T13:32:55","336785","좌석과 키오스크 방향"
"lotteria","classified","02-interior-seating","lotteria-0016-1_23.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_23.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\02-interior-seating\lotteria-0016-1_23.jpg","2026-04-16T13:35:19","300504","좌석과 브랜드 벽면"
"lotteria","classified","03-counter-kiosk-order","lotteria-0017-1_24.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_24.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0017-1_24.jpg","2026-04-16T13:35:59","465134","키오스크와 메뉴보드"
"lotteria","classified","05-food-drink-menu","lotteria-0018-1_25.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_25.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\05-food-drink-menu\lotteria-0018-1_25.jpg","2026-04-16T13:37:02","321469","버거와 감자튀김 제품컷"
"lotteria","classified","05-food-drink-menu","lotteria-0019-1_26.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_26.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\05-food-drink-menu\lotteria-0019-1_26.jpg","2026-04-16T13:37:18","315476","버거 세트 제품컷"
"lotteria","classified","02-interior-seating","lotteria-0020-1_27.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_27.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\02-interior-seating\lotteria-0020-1_27.jpg","2026-04-16T13:37:33","401197","좌석 공간"
"lotteria","classified","03-counter-kiosk-order","lotteria-0021-1_28.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_28.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0021-1_28.jpg","2026-04-16T13:37:47","296765","키오스크와 카운터"
"lotteria","classified","03-counter-kiosk-order","lotteria-0022-1_29.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_29.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0022-1_29.jpg","2026-04-16T13:38:40","339304","카운터와 메뉴보드"
"lotteria","classified","02-interior-seating","lotteria-0023-1_3.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_3.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\02-interior-seating\lotteria-0023-1_3.jpg","2026-04-16T13:25:01","224138","좌석 공간"
"lotteria","classified","05-food-drink-menu","lotteria-0024-1_30.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_30.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\05-food-drink-menu\lotteria-0024-1_30.jpg","2026-04-16T13:39:31","409822","버거 세트 제품컷"
"lotteria","classified","02-interior-seating","lotteria-0025-1_31.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_31.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\02-interior-seating\lotteria-0025-1_31.jpg","2026-04-16T13:39:45","266347","출입구와 좌석 동선"
"lotteria","classified","03-counter-kiosk-order","lotteria-0026-1_32.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_32.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0026-1_32.jpg","2026-04-16T13:40:03","354914","키오스크와 카운터"
"lotteria","classified","03-counter-kiosk-order","lotteria-0027-1_33.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_33.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0027-1_33.jpg","2026-04-16T13:40:14","297925","카운터와 메뉴보드"
"lotteria","classified","02-interior-seating","lotteria-0028-1_34.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_34.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\02-interior-seating\lotteria-0028-1_34.jpg","2026-04-16T13:40:24","281333","좌석 공간"
"lotteria","classified","03-counter-kiosk-order","lotteria-0029-1_35.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_35.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0029-1_35.jpg","2026-04-16T13:41:36","311251","키오스크 주문 동선"
"lotteria","classified","02-interior-seating","lotteria-0030-1_36.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_36.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\02-interior-seating\lotteria-0030-1_36.jpg","2026-04-16T13:41:47","391366","좌석 공간"
"lotteria","classified","03-counter-kiosk-order","lotteria-0031-1_37.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_37.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0031-1_37.jpg","2026-04-16T13:42:04","278712","키오스크와 주문 동선"
"lotteria","classified","02-interior-seating","lotteria-0032-1_38.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_38.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\02-interior-seating\lotteria-0032-1_38.jpg","2026-04-16T13:43:21","282516","좌석과 카운터 방향"
"lotteria","classified","03-counter-kiosk-order","lotteria-0033-1_39.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_39.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\03-counter-kiosk-order\lotteria-0033-1_39.jpg","2026-04-16T13:43:29","270836","키오스크와 메뉴보드"
"lotteria","classified","05-food-drink-menu","lotteria-0034-1_4.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_4.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\05-food-drink-menu\lotteria-0034-1_4.jpg","2026-04-16T13:25:12","217425","버거 제품컷"
"lotteria","classified","01-exterior-signage","lotteria-0035-1_40.jpg","D:\26년 C드라이브 복사본\26년 개인블로그\내가 찍었던 사진들\롯데리아\1_40.jpg","C:\Users\home\Documents\detailpages\franchise-photo-library\lotteria\01-exterior-signage\lotteria-0035-1_40.jpg","2026-04-16T13:43:55","267039","외부 전면 간판"
