filename,category,notes
megacoffee-0041-4_16.jpg,02-interior-seating,좌석과 브랜드 월사인
megacoffee-0042-4_17.jpg,09-caution-unusable,인물 홍보물이 크게 노출됨
megacoffee-0043-4_18.jpg,01-exterior-signage,야간 외부 간판과 출입구
megacoffee-0044-4_19.jpg,03-counter-kiosk-order,키오스크와 카운터
megacoffee-0045-4_2.jpg,03-counter-kiosk-order,카운터와 좌석 동선
megacoffee-0046-4_20.jpg,02-interior-seating,좌석 공간
megacoffee-0047-4_21.jpg,01-exterior-signage,외부 출입구와 간판
megacoffee-0048-4_22.jpg,06-menu-promotion,프로모션 및 메뉴 홍보물
megacoffee-0049-4_23.jpg,05-food-drink-menu,음료와 디저트
megacoffee-0050-4_24.jpg,03-counter-kiosk-order,쇼케이스와 픽업 동선
megacoffee-0051-4_3.jpg,07-street-trade-area,출입구에서 보이는 외부 동선
megacoffee-0052-4_4.jpg,05-food-drink-menu,테이크아웃 컵 제품컷
megacoffee-0053-4_5.jpg,04-kitchen-equipment,제조 설비와 작업 공간
megacoffee-0054-4_6.jpg,09-caution-unusable,인물 홍보물이 크게 노출됨
megacoffee-0055-4_7.jpg,03-counter-kiosk-order,카운터 장비와 주문 공간
megacoffee-0056-4_8.jpg,02-interior-seating,좌석과 카운터 방향
megacoffee-0057-4_9.jpg,01-exterior-signage,외부 간판과 입구
megacoffee-0058-4월_1.jpeg,02-interior-seating,넓은 좌석 공간
megacoffee-0059-4월_10.jpeg,01-exterior-signage,외부 전면 간판
megacoffee-0060-4월_11.jpeg,02-interior-seating,좌석과 매장 내부
megacoffee-0061-4월_12.jpeg,03-counter-kiosk-order,카운터와 메뉴보드
megacoffee-0062-4월_13.jpeg,01-exterior-signage,외부 전면과 출입구
megacoffee-0063-4월_14.jpeg,01-exterior-signage,외부 출입구 디테일
megacoffee-0064-4월_15.jpeg,02-interior-seating,좌석 디테일
megacoffee-0065-4월_16.jpeg,02-interior-seating,출입구 방향 좌석
megacoffee-0066-4월_17.jpeg,05-food-drink-menu,음료 제품컷
megacoffee-0067-4월_18.jpeg,02-interior-seating,출입구와 내부 좌석
megacoffee-0068-4월_19.jpeg,05-food-drink-menu,머그컵 제품컷
megacoffee-0069-4월_2.jpeg,01-exterior-signage,정면 외부 간판
megacoffee-0070-4월_20.jpeg,02-interior-seating,좌석과 브랜드 월사인
megacoffee-0071-4월_21.jpeg,06-menu-promotion,진열대와 프로모션 홍보물
megacoffee-0072-4월_22.jpeg,01-exterior-signage,외부 출입구와 간판
megacoffee-0073-4월_3.jpeg,06-menu-promotion,벽면 제품 홍보 포스터
megacoffee-0074-4월_4.jpeg,03-counter-kiosk-order,카운터와 메뉴보드
megacoffee-0075-4월_5.jpeg,03-counter-kiosk-order,주문 동선과 매장 내부
megacoffee-0076-4월_6.jpeg,02-interior-seating,좌석 공간
megacoffee-0077-4월_7.jpeg,02-interior-seating,좌석 공간 넓은 컷
megacoffee-0078-4월_8.jpeg,02-interior-seating,좌석과 출입구 방향
megacoffee-0079-4월_9.jpeg,09-caution-unusable,인물 홍보물이 크게 노출됨
megacoffee-0080-5_1.jpg,01-exterior-signage,외부 전면 간판
