seq,category,notes
281,02-interior-seating,창가 좌석 공간
282,05-food-drink-menu,디저트 제품컷
283,01-exterior-signage,외부 창문과 매장 내부
284,02-interior-seating,벽면 브랜드 문구와 좌석
285,02-interior-seating,브랜드 벽면 그래픽
286,02-interior-seating,좌석 공간
287,04-kitchen-equipment,제조 설비와 작업 동선
288,03-counter-kiosk-order,카운터와 키오스크 동선
289,02-interior-seating,넓은 좌석 공간
290,03-counter-kiosk-order,카운터와 메뉴보드
291,03-counter-kiosk-order,카운터와 메뉴보드
292,03-counter-kiosk-order,카운터와 메뉴보드
293,03-counter-kiosk-order,카운터 제조 동선
294,02-interior-seating,좌석과 브랜드 월사인
295,02-interior-seating,긴 좌석 공간
296,01-exterior-signage,외부 전면 간판
297,03-counter-kiosk-order,카운터와 메뉴보드
298,02-interior-seating,좌석과 브랜드 월사인
299,02-interior-seating,매장 내부 넓은 컷
300,02-interior-seating,좌석과 카운터 방향
301,02-interior-seating,노란 벽면 좌석
302,02-interior-seating,출입구 방향 좌석
303,01-exterior-signage,외부 전면 간판
304,03-counter-kiosk-order,카운터와 쇼케이스
305,02-interior-seating,좌석과 내부 동선
306,02-interior-seating,긴 좌석 동선
307,01-exterior-signage,외부 전면 간판과 셔터
308,07-street-trade-area,거리 코너에서 보이는 매장 전경
309,02-interior-seating,노란 벽면 좌석
310,01-exterior-signage,외부 전면 간판
311,01-exterior-signage,외부 간판 클로즈업
312,06-menu-promotion,메뉴보드와 프로모션
313,01-exterior-signage,외부 전면 간판
314,05-food-drink-menu,디저트 제품컷
315,02-interior-seating,좌석과 카운터 방향
316,02-interior-seating,노란 벽면 좌석
317,01-exterior-signage,외부 전면 간판
318,09-caution-unusable,인물 홍보물이 크게 노출됨
319,01-exterior-signage,외부 전면 간판
320,09-caution-unusable,인물 홍보물과 포스터가 크게 노출됨

