seq,category,notes
81,02-interior-seating,seating area
82,02-interior-seating,seating and counter context
83,02-interior-seating,seating and counter context
84,02-interior-seating,seating area
85,02-interior-seating,booth seating area
86,06-menu-promotion,menu and product promotion board
87,01-exterior-signage,exterior storefront sign
88,05-food-drink-menu,drink product cut
89,02-interior-seating,seating area with brand sign
90,03-counter-kiosk-order,counter and order area
91,02-interior-seating,seating area
92,03-counter-kiosk-order,counter corridor and service area
93,01-exterior-signage,exterior storefront sign
94,03-counter-kiosk-order,counter menu board and showcase
95,02-interior-seating,seating area with brand sign
96,06-menu-promotion,exterior menu board
97,02-interior-seating,seating area with brand sign
98,02-interior-seating,seating area
99,02-interior-seating,seating area with brand sign
100,09-caution-unusable,people visible near counter corridor
101,03-counter-kiosk-order,kiosk order area
102,02-interior-seating,seating area with brand sign
103,02-interior-seating,wide seating and counter context
104,03-counter-kiosk-order,counter and wide interior
105,02-interior-seating,wide seating and counter context
106,02-interior-seating,seating area
107,02-interior-seating,seating and counter context
108,03-counter-kiosk-order,counter menu board and showcase
109,02-interior-seating,seating area with brand sign
110,02-interior-seating,brand wall sign
111,02-interior-seating,brand wall sign
112,02-interior-seating,seating and counter context
113,01-exterior-signage,exterior storefront sign
114,04-kitchen-equipment,utility and equipment reference
115,02-interior-seating,seating and brand wall context
116,02-interior-seating,seating and counter context
